KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTOPTA452018;But then, what are we?;Mais alors, que sommes-nous?;Aber was sind wir dann?;Ale czym my jesteœmy?;Pero entonces, ¿qué somos?;Ma allora cosa siamo?;De akkor mi vagyunk?;Ale co jsme tedy?;De akkor mi vagyunk?;Maar wat zijn we dan?;Mas então, o que somos?;Íî òîãäà ÷òî ìû?;Mutta mitä me sitten olemme?;x
EVTOPTA666000;Those puny humans will be killed by the mighty $COUNTRY$;Ces humains chétifs seront tués par le puissant $COUNTRY$;Diese mickrigen Menschen werden vom mächtigen $COUNTRY$ getötet;Ci mizerni ludzie zostan¹ zabici przez potê¿nego $COUNTRY$;Esos humanos débiles serán asesinados por el poderoso $COUNTRY$;Quei inutili umani saranno uccisi dal potente $COUNTRY$;Ezeket a bántó embereket a hatalmas $COUNTRY$ meg fogja ölni;Tito malí lidé budou zabiti mocnım $COUNTRY$;Ezeket a bántó embereket a hatalmas $COUNTRY$ meg fogja ölni;Die nietige mensen zullen worden gedood door de machtige $COUNTRY$;Esses humanos insignificantes serão mortos pelos poderosos $COUNTRY$;İòè ìàëåíüêèå ëşäè áóäóò óáèòû ìîãóùåñòâåííîé $COUNTRY$;Mahtava $COUNTRY$ tappaa ne kiusalliset ihmiset;x
EVTOPTA666001;I need to have a word with the census bureau;J'ai besoin d'avoir un mot avec le bureau du recensement;Ich muss mit dem Volkszählungsbüro sprechen;Muszê porozmawiaæ z biurem spisu ludnoœci;Necesito hablar con la oficina del censo;Devo dire due parole all'ufficio censimenti;Szót kell szólnom a népszámláló irodához;Musím mít slovo s úøadem pro sèítání lidu;Szót kell szólnom a népszámláló irodához;Ik moet met het volkstellingbureau spreken;Eu preciso ter uma palavra com a agência do censo;Ìíå íóæíî ïîãîâîğèòü ñ áşğî ïåğåïèñåé;Minulla on oltava sana väestölaskentatoimiston kanssa;x
EVTNAME000000;"$COUNTRY_ADJ$ ""noculture"" citizens";"Les Citoyens $COUNTRY_ADJ$e ""Sans culture""";"Die $COUNTRY_ADJ$e ""kulturlose"" Bürger";"$COUNTRY_ADJ$ obywatele ""nocultury""";"Los ciudadanos $COUNTRY_ADJ$s ""sin cultura""";"I cittadini $COUNTRY_ADJ$ ""senza cultura""";"$COUNTRY_ADJ$ ""noculture"" polgárok";"$COUNTRY_ADJ$ ""noculture"" obèané";"$COUNTRY_ADJ$ ""noculture"" polgárok";"$COUNTRY_ADJ$ ""nocultuur"" burgers";"Cidadãos de ""noculture"" de $COUNTRY_ADJ$";"$COUNTRY_ADJ$ ãğàæäàíå ""íîêóëüòóğû""";"$COUNTRY_ADJ$ ""ei-kulttuuriset"" kansalaiset";x
EVTDESC000000;The faulty census bureau has listed a lot of people who do not exist, putting them under N.N. when it comes to most of their stats, even their own language;Le bureau de recensement défectueux a répertorié un grand nombre de personnes qui n'existent pas, les plaçant sous N.N. en ce qui concerne la plupart de leurs statistiques, même leur propre langue;Das fehlerhafte Volkszählungsbüro hat viele Menschen aufgelistet, die es nicht gibt, und sie unter N.N. wenn es um die meisten ihrer Statistiken geht, sogar um ihre eigene Sprache;Wadliwe biuro spisu ludnoœci wymieni³o wielu ludzi, którzy nie istniej¹, umieszczaj¹c ich pod N.N. jeœli chodzi o wiêkszoœæ ich statystyk, nawet ich w³asny jêzyk;La oficina censal defectuosa ha enumerado a muchas personas que no existen, colocándolas bajo N.N. cuando se trata de la mayoría de sus estadísticas, incluso su propio idioma;Il difettoso ufficio censimenti ha elencato molte persone che non esistono, mettendole sotto N.N. quando si tratta della maggior parte delle loro statistiche, anche della propria lingua;A hibás népszámláló iroda felsorolt egy csomó embert, akik nem léteznek, és N.N. alá helyezték õket. amikor a legtöbb statisztikájukról beszélünk, még a saját nyelvükrõl is;Vadnı úøad pro sèítání lidu uvedl mnoho lidí, kteøí neexistují, a uvedl je pod N.N. pokud jde o vìtšinu jejich statistik, dokonce i jejich vlastní jazyk;A hibás népszámláló iroda felsorolt egy csomó embert, akik nem léteznek, és N.N. alá helyezték õket. amikor a legtöbb statisztikájukról beszélünk, még a saját nyelvükrõl is;Het gebrekkige volkstellingbureau heeft veel mensen op een rij gezet die niet bestaan en onder N.N. als het gaat om de meeste van hun statistieken, zelfs hun eigen taal;O departamento do censo com defeito listou muitas pessoas que não existem, colocando-as sob N.N. quando se trata da maioria das estatísticas, até o próprio idioma;Íåïğàâèëüíîå áşğî ïåğåïèñåé ïåğå÷èñëèëî ìíîãî íåñóùåñòâóşùèõ ëşäåé, ïîìåñòèâ èõ ïîä N.N. êîãäà äåëî äîõîäèò äî áîëüøèíñòâà èõ ñòàòèñòèêè, äàæå èõ ñîáñòâåííîãî ÿçûêà;Virheellinen väestölaskentatoimisto on luetteloinut paljon ihmisiä, joita ei ole olemassa, asettamalla heidät N.N. kun kyse on suurimmasta osasta heidän tilastojaan, jopa heidän omalla kielellään;x
EVTOPTA000000;That's what I get from not paying those bureaucrats enough;C'est ce que j'obtiens de ne pas payer suffisamment ces bureaucrates;Das bekomme ich, wenn ich diese Bürokraten nicht genug bezahle;To w³aœnie czerpiê z niewystarczaj¹cego p³acenia biurokratom;Eso es lo que obtengo de no pagarles lo suficiente a esos burócratas;Questo è quello che ottengo dal non pagare abbastanza quei burocrati;Ez az, amit nem tudok fizetni azoknak a bürokratáknak;To je to, co dostanu z toho, e tìmto byrokratùm platím dost;Ez az, amit nem tudok fizetni azoknak a bürokratáknak;Dat is wat ik krijg als ik die bureaucraten niet genoeg betaal;É o que eu ganho por não pagar esses burocratas o suficiente;İòî òî, ÷òî ÿ ïîëó÷àş, íå ïëàòÿ ıòèì áşğîêğàòàì äîñòàòî÷íî;Se mitä saan siitä, että en maksa niille byrokraateille tarpeeksi;x
EVTNAME000001;The Languageless Minority;La minorité sans langue;Die sprachlose Minderheit;Bezksiê¿ycowa mniejszoœæ;La minoría sin lenguaje;La minoranza senza lingua;A nyelv nélküli kisebbség;Bezdomovecká menšina;A nyelv nélküli kisebbség;De taalloos Minderheid;A minoria sem língua;Áåçúÿçûêîâîå ìåíüøèíñòâî;Kieletön vähemmistö;x
EVTDESC000001;In the $COUNTRY_ADJ$ constitution, we say that we are a proud country that, among others, welcomes the languageless as fellow citizens;Dans la constitution $COUNTRY_ADJ$, nous disons que nous sommes un pays fier qui, entre autres, accueille les sans-langue comme ses concitoyens;In der $COUNTRY_ADJ$en Verfassung sagen wir, dass wir ein stolzes Land sind, das unter anderem die Sprachlosen als Mitbürger begrüßt;W konstytucji $COUNTRY_ADJ$ mówimy, ¿e jesteœmy dumnym krajem, który miêdzy innymi wita ludzi bez jêzyka jako wspó³obywateli;En la constitución $COUNTRY_ADJ$, decimos que somos un país orgulloso que, entre otros, da la bienvenida a los sin lenguaje como conciudadanos;Nella costituzione $COUNTRY_ADJ$, diciamo che siamo un paese orgoglioso che, tra gli altri, accoglie i senzalingua come concittadini;A $COUNTRY_ADJ$ alkotmányban azt mondjuk, hogy egy büszke ország vagyunk, amely többek között örömmel fogadja a nyelvteleneket mint polgárokat;V $COUNTRY_ADJ$ ústavì øíkáme, e jsme hrdá zemì, která mimo jiné vítá bezdomovce jako spoluobèany;A $COUNTRY_ADJ$ alkotmányban azt mondjuk, hogy egy büszke ország vagyunk, amely többek között örömmel fogadja a nyelvteleneket mint polgárokat;In de $COUNTRY_ADJ$ grondwet zeggen we dat we een trots land zijn dat onder meer de taallozen als medeburgers verwelkomt;Na constituição de $COUNTRY_ADJ$, dizemos que somos um país orgulhoso que, entre outros, acolhe os sem língua como concidadãos;Â êîíñòèòóöèè $COUNTRY_ADJ$ ìû ãîâîğèì, ÷òî ìû ãîğäèìñÿ ñòğàíîé, êîòîğàÿ, ñğåäè ïğî÷åãî, ïğèâåòñòâóåò áåçãğàæäàíñòâà êàê ñîãğàæäàíå;$COUNTRY_ADJ$ perustuslaissa sanomme, että olemme ylpeä maa, joka muun muassa pitää kielitöntä kansalaisena;x
EVTOPTA000001;Our previous $MONARCHTITLE$ was a trickster;Notre $MONARCHTITLE$ précédent était un filou;Unser vorheriger $MONARCHTITLE$ war ein Trickster;Nasze poprzednie $MONARCHTITLE$ by³o oszustem;Nuestro $MONARCHTITLE$ anterior era un tramposo;Il nostro ultimo $MONARCHTITLE$ era un demente;Korábbi $MONARCHTITLE$ egy trükkö volt;Náš pøedchozí $MONARCHTITLE$ byl podvodník;Korábbi $MONARCHTITLE$ egy trükkö volt;Onze vorige $MONARCHTITLE$ was een bedrieger;Nosso $MONARCHTITLE$ anterior era um trapaceiro;Íàø ïğåäûäóùèé $MONARCHTITLE$ áûë îáìàíùèêîì;Aiempi $MONARCHTITLE$ oli huijari;x
EVTNAME000002;Bureaucratic Confusion;Confusion bureaucratique;Bürokratische Verwirrung;Zamieszanie biurokratyczne;Confusión burocrática;Confusione burocratica;Bürokratikus zavar;Byrokratickı zmatek;Bürokratikus zavar;Bureaucratische verwarring;Confusão burocrática;Áşğîêğàòè÷åñêàÿ ïóòàíèöà;Byrokraattinen sekavuus;x
EVTDESC000002;Although it may seem progressive, having no official language or ethnicity has been a suicide for our administration and diplomacy, as well as to get the $COUNTRY_ADJ$ people feel welcomed in their own country;Même si cela peut sembler progressiste, le fait de ne pas avoir de langue officielle ou d'appartenance ethnique a été un suicide pour notre administration et notre diplomatie, ainsi que pour que le peuple $COUNTRY_ADJ$ se sente le bienvenu dans son propre pays.;Obwohl es progressiv erscheinen mag, war es ein Selbstmord für unsere Verwaltung und Diplomatie, keine Amtssprache oder ethnische Zugehörigkeit zu haben, da die $COUNTRY_ADJ$e Menschen in ihrem eigenen Land nicht willkommen heißen;Chocia¿ mo¿e siê to wydawaæ postêpowe, brak oficjalnego jêzyka lub pochodzenia etnicznego by³ samobójstwem dla naszej administracji i dyplomacji, a tak¿e aby ludzie z kraju $COUNTRY_ADJ$ zostali przyjêci w swoim kraju;Aunque pueda parecer progresivo, no tener un idioma o etnia oficial ha sido un suicidio para nuestra administración y diplomacia, así como para que el pueblo $COUNTRY_ADJ$ se sienta bienvenido en su propio país;Sebbene possa sembrare progressivo, non avere alcuna lingua o etnia ufficiale è stato un suicidio per la nostra amministrazione e diplomazia, oltre a far sentire i $COUNTRY_ADJ$ non accolti nel loro stesso paese;Bár progresszívnek tûnhet, hivatalos nyelv vagy etnikai hovatartozás hiánya öngyilkosság volt adminisztrációnk és diplomáciánk számára, valamint annak érdekében, hogy a $COUNTRY_ADJ$ embereket üdvözöljék saját országukban.;I kdy se to mùe zdát progresivní, neexistence úøedního jazyka nebo etnicity byla pro naši administrativu a diplomacii sebevradou a také aby se $COUNTRY_ADJ$ lidé cítili vítáni ve své vlastní zemi;Bár progresszívnek tûnhet, hivatalos nyelv vagy etnikai hovatartozás hiánya öngyilkosság volt adminisztrációnk és diplomáciánk számára, valamint annak érdekében, hogy a $COUNTRY_ADJ$ embereket üdvözöljék saját országukban.;Hoewel het progressief lijkt, was het hebben van geen officiële taal of etniciteit een zelfmoord voor onze administratie en diplomatie, en om de $COUNTRY_ADJ$ mensen welkom te laten voelen in hun eigen land;Embora possa parecer progressivo, não ter idioma ou etnia oficial foi um suicídio para nossa administração e diplomacia, além de fazer com que as pessoas de $COUNTRY_ADJ$ se sintam bem-vindas em seu próprio país;Õîòÿ ıòî ìîæåò ïîêàçàòüñÿ ïğîãğåññèâíûì, îòñóòñòâèå îôèöèàëüíîãî ÿçûêà èëè ıòíè÷åñêîé ïğèíàäëåæíîñòè áûëî ñàìîóáèéñòâîì äëÿ íàøåé àäìèíèñòğàöèè è äèïëîìàòèè, à òàêæå äëÿ òîãî, ÷òîáû ëşäè $COUNTRY_ADJ$ ÷óâñòâîâàëè ñåáÿ æåëàííûìè â ñâîåé ñîáñòâåííîé ñòğàíå.;Vaikka se voi vaikuttaa edistykselliseltä kannalta, virallisen kielen tai etnisyyden puuttuminen on ollut itsemurhaa hallintomme ja diplomatian kannalta, samoin kuin saadaksemme $COUNTRY_ADJ$ ihmisiä tervetulleiksi omassa maassaan;x
EVTOPTA000002;We'll use the dialect of $CAPITAL$;Nous utiliserons le dialecte de $CAPITAL$;Wir werden den Dialekt von $CAPITAL$ verwenden;U¿yjemy dialektu $CAPITAL$;Usaremos el dialecto de $CAPITAL$;Useremo il dialetto di $CAPITAL$;A $CAPITAL$ nyelvjárást fogjuk használni;Pouijeme dialekt $CAPITAL$;A $CAPITAL$ nyelvjárást fogjuk használni;We gebruiken het dialect van $CAPITAL$;Usaremos o dialeto $CAPITAL$;Ìû áóäåì èñïîëüçîâàòü äèàëåêò $CAPITAL$;Käytämme murhaa $CAPITAL$;x
EVTHELLOTITLE;Welcome to Victoria II;Bienvenue à Victoria II;Willkommen bei Victoria II;Witamy w Victorii II;Bienvenido a Victoria II;Benvenuti in Victoria II;Üdvözöljük a II;Vítejte ve Victorii II;Üdvözöljük a II;Welkom bij Victoria II;Bem-vindo a Victoria II;Äîáğî ïîæàëîâàòü â Âèêòîğèş II;Tervetuloa Victoria II-een;x
EVTHELLODESC;"Welcome, Player, and thanks for having used our EU4toVic2 converter, developed by a team of fans like you. You're currently playing as a $COUNTRY_ADJ$ $MONARCHTITLE$ in $CAPITAL$. Playing before 1821 could cause issues because some countries lack parties and technologies are unavailable to research. If you spot any error or you wish to help with translation, please, contact us. You'll notice the decision ""The Postcolonialism"". If you choose it, you'll allow historical American borders and independence revolts to develop historically. That being said, I wish you a good gameplay. You will now have the option to choose our observer mode, if that's what you want.";"Bienvenue, Joueur/Joueuse, et merci d'avoir utilisé notre convertisseur EU4toVic2, développé par une équipe de fans comme vous. Vous jouez actuellement en tant que $MONARCHTITLE$ de $COUNTRY$ à $CAPITAL$. Jouer avant 1821 pourrait causer des problèmes car certains pays n'ont pas de partis et les technologies ne sont pas disponibles pour la recherche. Si vous constatez une erreur ou si vous souhaitez aider à la traduction, veuillez nous contacter. Vous remarquerez la décision ""Le postcolonialisme"". Si vous le choisissez, vous permettrez aux frontières historiques américaines et aux révoltes d'indépendance de se développer historiquement. Cela étant dit, je vous souhaite un bon gameplay. Vous aurez maintenant la possibilité de choisir notre mode d'observateur, si c'est ce que vous voulez.";"Willkommen, Spieler/Spielerin, und vielen Dank, dass Sie unseren EU4toVic2-Konverter verwendet haben, der von einem Team von Fans wie Ihnen entwickelt wurde. Sie spielen derzeit als der $COUNTRY_ADJ$e $MONARCHTITLE$ in $CAPITAL$. Das Spielen vor 1821 könnte Probleme verursachen, da in einigen Ländern keine Parteien vorhanden sind und Technologien für die Forschung nicht verfügbar sind. Wenn Sie einen Fehler entdecken oder bei der Übersetzung helfen möchten, kontaktieren Sie uns bitte. Sie werden die Entscheidung ""Der Postkolonialismus"" bemerken. Wenn Sie es wählen, werden Sie zulassen, dass sich historische amerikanische Grenzen und Unabhängigkeitsrevolten historisch entwickeln. Davon abgesehen wünsche ich dir ein gutes Gameplay. Sie haben jetzt die Möglichkeit, unseren Beobachtermodus zu wählen, wenn Sie dies wünschen.";Witaj, Gracz/Graczka, i dziêkujemy za skorzystanie z naszego konwertera EU4toVic2, opracowanego przez zespó³ fanów takich jak Ty. Obecnie grasz jako $COUNTRYAJ$i $MONARCHTITLE$ w $CAPITAL$. Granie przed rokiem 1821 mo¿e powodowaæ problemy, poniewa¿ w niektórych krajach brakuje stron, a technologie s¹ niedostêpne do bada?. Jeœli zauwa¿ysz b³¹d lub chcesz pomóc w t³umaczeniu, skontaktuj siê z nami. Zauwa¿ysz decyzjê „Postkolonializm”. Jeœli go wybierzesz, pozwolisz historycznym ameryka?skim granicom i rewoltom niepodleg³oœciowym rozwin¹æ siê historycznie. Bior¹c to pod uwagê, ¿yczê dobrej gry. Bêdziesz mieæ teraz mo¿liwoœæ wyboru trybu obserwatora, jeœli tego chcesz.;"Bienvenido, Jugador, y gracias por haber usado nuestro conversor EU4toVic2, desarrollado por un equipo de fanáticos como tú. Actualmente juegas como el $MONARCHTITLE$ de $COUNTRY$ en $CAPITAL$. Jugar antes de 1821 podría causar problemas porque algunos países carecen de partidos y las tecnologías no están disponibles para la investigación. Si detecta algún error o desea ayudar con la traducción, comuníquese con nosotros. Notarás la decisión ""El poscolonialismo"". Si lo elige, permitirá que las fronteras históricas estadounidenses y las revueltas por la independencia se desarrollen históricamente. Dicho esto, te deseo un buen juego. Ahora tendrá la opción de elegir nuestro modo de observador, si eso es lo que desea.";"Benvenuto, Giocatore, e grazie per aver utilizzato il nostro convertitore EU4toVic2, sviluppato da un team di fan come te. Attualmente sta giocando come un $MONARCHTITLE$ $COUNTRY_ADJ$ a $CAPITAL$. Giocare prima del 1821 potrebbe causare problemi perché in alcuni paesi mancano le feste e le tecnologie non sono disponibili per la ricerca. Se nota qualche errore o desidera aiutare con la traduzione, La preghiamo di contattarci. Sarà anche accolto con l'evento ""La questione siriana"" (sui confini culturali in Medio Oriente) e la decisione ""Il postcolonialismo"" (che rende possibile lo sviluppo storico dei confini americani). Se sceglie ""Il postcolonialismo"", vedrà i paesi del Nuovo Mondo che dichiarano l'indipendenza, a volte all'improvviso. Detto questo, Le auguro un buon gameplay. Ora avrà la possibilità di scegliere o rifiutare la nostra modalità osservatore.";"Üdvözlet, Játékos, és köszönjük, hogy felhasználta az EU4toVic2 átalakítót, amelyet olyan rajongói csapat fejlesztett ki, mint te. Jelenleg $COUNTRY_ADJ$ $MONARCHTITLE$ként játszol, $CAPITAL$ként. Az 1821 elõtti lejátszás problémákat okozhat, mivel néhány országban nincsenek pártok, és a technológiák nem állnak rendelkezésre a kutatáshoz. Ha hibát észlel, vagy segítségre van szüksége a fordításban, kérjük, vegye fel velünk a kapcsolatot. Szeretettel üdvözlik a ""Szír kérdés"" rendezvényt (a Közel-Kelet kulturális határairól) és a ""Postkolonializmus"" határozatot (amely lehetõvé teszi az amerikai határok történelmi fejlõdését). Ha a „Postkolonializmust” választja, akkor szemtanúja lehet az új világ függetlenségét kinyilvánító országainak is, néha a kékrõl. Ennek ellenére jó játékot kívánok. Most lehetõsége van választani a megfigyelõ módot, ha erre van szüksége.";Vítejte, Hráè a dìkujeme, e jste pouili náš pøevadìè EU4toVic2, vyvinutı tımem fanouškù, jako jste vy. Momentálnì hrajete jako $COUNTRY_ADJ$ $MONARCHTITLE$ v $CAPITAL$. Hra pøed rokem 1821 by mohla zpùsobit problémy, protoe v nìkterıch zemích chybí strany a technologie nejsou k dispozici pro vızkum. Pokud zjistíte nìjakou chybu nebo chcete pomoci s pøekladem, kontaktujte nás. Rovnì vás uvítá událost „Syrská otázka“ (o kulturních hranicích na Støedním vıchodì) a rozhodnutí „Postkolonialismus“ (umoòující historicky se rozvíjet americké hranice). Pokud zvolíte „Postcolonialismus“, budete také svìdky zemí Nového svìta, které prohlašují nezávislost, nìkdy mimo modrou. Jak ji bylo øeèeno, pøeji vám dobrou hru. Nyní budete mít monost zvolit si náš pozorovací reim, pokud to chcete.;"Üdvözlet, Játékos, és köszönjük, hogy felhasználta az EU4toVic2 átalakítót, amelyet olyan rajongói csapat fejlesztett ki, mint te. Jelenleg $COUNTRY_ADJ$ $MONARCHTITLE$ként játszol, $CAPITAL$ként. Az 1821 elõtti lejátszás problémákat okozhat, mivel néhány országban nincsenek pártok, és a technológiák nem állnak rendelkezésre a kutatáshoz. Ha hibát észlel, vagy segítségre van szüksége a fordításban, kérjük, vegye fel velünk a kapcsolatot. Szeretettel üdvözlik a ""Szír kérdés"" rendezvényt (a Közel-Kelet kulturális határairól) és a ""Postkolonializmus"" határozatot (amely lehetõvé teszi az amerikai határok történelmi fejlõdését). Ha a „Postkolonializmust” választja, akkor szemtanúja lehet az új világ függetlenségét kinyilvánító országainak is, néha a kékrõl. Ennek ellenére jó játékot kívánok. Most lehetõsége van választani a megfigyelõ módot, ha erre van szüksége.";"Welkom, speler en bedankt dat je onze EU4toVic2-converter hebt gebruikt, ontwikkeld door een team van fans zoals jij. Je speelt momenteel als $COUNTRY_ADJ$ $MONARCHTITLE$ in $CAPITAL$. Spelen voor 1821 kan problemen veroorzaken omdat sommige landen geen partijen hebben en technologieën niet beschikbaar zijn voor onderzoek. Neem contact met ons op als u een fout ontdekt of u wilt helpen met vertalen. Je wordt ook begroet met het evenement ""The Syrian Question"" (over culturele grenzen in het Midden-Oosten) en de beslissing ""The Postcolonialism"" (waardoor de Amerikaanse grenzen zich historisch kunnen ontwikkelen). Als u 'The Postcolonialism' kiest, zult u ook getuige zijn van landen uit de Nieuwe Wereld die hun onafhankelijkheid uitroepen, soms uit het niets. Dat gezegd hebbende, ik wens je een goede gameplay. Je hebt nu de mogelijkheid om onze waarnemersmodus te kiezen, als je dat wilt.";"Bem-vindo Jogador, e obrigado por ter utilizado o nosso conversor EU4toVic2, desenvolvido por uma equipa de fãs como você. Você está jogando atualmente como um $MONARCHTITLE$ $COUNTRYADJ$ em $CAPITAL$. Jogar antes de 1821 pode causar problemas porque alguns países não têm partidos e tecnologias não estão disponíveis para pesquisa. Se você detectar algum erro ou quiser ajudar com a tradução, por favor, entre em contato conosco. Você notará a decisão ""O Pós-colonialismo"". Se você escolher, permitirá que as fronteiras históricas americanas e as revoltas pela independência se desenvolvam historicamente. Dito isso, desejo uma boa jogabilidade. Agora você terá a opção de escolher nosso modo de observador, se desejar.";Äîáğî ïîæàëîâàòü, Èãğîê/Èãğà÷êà, è áëàãîäàğèì âàñ çà èñïîëüçîâàíèå íàøåãî êîíâåğòåğà EU4toVic2, ğàçğàáîòàííîãî òàêîé êîìàíäîé ôàíàòîâ, êàê âû. Â íàñòîÿùåå âğåìÿ âû èãğàåòå çà $COUNTRYADJ$îãî $MONARCHTITLE$ â $CAPITAL$å. Èãğà äî 1821 ãîäà ìîæåò âûçâàòü ïğîáëåìû, ïîòîìó ÷òî â íåêîòîğûõ ñòğàíàõ îòñóòñòâóşò ïàğòèè è òåõíîëîãèè, íåäîñòóïíûå äëÿ èññëåäîâàíèÿ. Åñëè âû çàìåòèëè îøèáêó èëè õîòèòå ïîìî÷ü ñ ïåğåâîäîì, ñâÿæèòåñü ñ íàìè. Âû çàìåòèòå ğåøåíèå «Ïîñòêîëîíèàëèçì». Åñëè âû âûáåğåòå åãî, âû ïîçâîëèòå èñòîğè÷åñêèì ãğàíèöàì Àìåğèêè è âîññòàíèÿì çà íåçàâèñèìîñòü ğàçâèâàòüñÿ èñòîğè÷åñêè. Ïğè ıòîì æåëàş âàì õîğîøåãî èãğîâîãî ïğîöåññà. Òåïåğü ó âàñ áóäåò âîçìîæíîñòü âûáğàòü íàø ğåæèì íàáëşäàòåëÿ, åñëè âû ıòîãî õîòèòå.;"Tervetuloa, pelaaja, ja kiitos siitä, että käytit EU4toVic2-muunninta, jonka olet kehittänyt sinun kaltainen fani-ryhmä. Pelaat tällä hetkellä nimellä $COUNTRY_ADJ$ $MONARCHTITLE$ muodossa $CAPITAL$. Ennen vuotta 1821 pelaaminen voi aiheuttaa ongelmia, koska joissakin maissa ei ole puolueita ja tekniikat eivät ole käytettävissä tutkimukselle. Jos havaitset virheitä tai haluat auttaa kääntämisessä, ota meihin yhteyttä. Sinut tervehditään myös tapahtumassa ""Syyrian kysymys"" (Lähi-idän kulttuurirajoista) ja päätöksellä ""Postkolonialismi"" (jonka avulla Amerikan rajat voivat kehittyä historiallisesti). Jos valitset ""Postkolonialismin"", tulet todistamaan myös itsenäisyyden julistavat Uuden maailman maat, toisinaan sinistä. Toivon kuitenkin, että hyvä pelattavuus. Sinulla on nyt mahdollisuus valita tarkkailutila, jos se on mitä haluat.";x
EVTHELLOPLAY;Thanks, I'll keep playing as $COUNTRY$;Merci, je continuerai à jouer en tant que $COUNTRY$;Danke, ich werde weiterhin als $COUNTRY$ spielen;Dziêki, bêdê dalej gra³ jako $COUNTRY$;Gracias, seguiré jugando como $COUNTRY$;Grazie, continuerò a giocare come $COUNTRY$;Köszönöm, továbbra is $COUNTRY$ néven járok;Díky, budu hrát jako $COUNTRY$;Köszönöm, továbbra is $COUNTRY$ néven járok;Bedankt, ik blijf spelen als $COUNTRY$;Obrigado, vou continuar jogando como $COUNTRY$;Ñïàñèáî, ÿ ïğîäîëæó èãğàòü çà $COUNTRY$;Kiitos, pelaan jatkossa nimellä $COUNTRY$;x
EVTHELLOOBS;I want to see the AI turn on itself;Je veux voir l'IA se battre;Ich möchte sehen, wie die KI selbst kämpft;Chcê zobaczyæ sam¹ walkê AI;Quiero ver a la IA pelear sola;Voglio vedere l'IA scannare se stessa;Látni akarom, hogy az AI bekapcsoljon;Chci vidìt, jak se AI zapne sama;Látni akarom, hogy az AI bekapcsoljon;Ik wil de AI zichzelf zien inschakelen;Eu quero ver a IA lutar contra si mesma;ß õî÷ó óâèäåòü ñàì áîé ÈÈ;Haluan nähdä, että AI käynnistyy itsestään;x
EVTNAME452019;The Saxon Duchy;Le Duché Saxon;Das sächsische Herzogtum;Ksiêstwo Saksoñskie;El ducado sajón;Il ducato sassone;A szász hercegség;Saské vévodství;A szász hercegség;Het Saksische hertogdom;Ducado saxão;Ñàêñîíñêîå ãåğöîãñòâî;Saksin herttuakunta;x
EVTDESC452019;There seems to be only one Saxon country, $COUNTRY$. Hence, the duke of $CAPITAL$ laid claim on the entire Saxony, claim he was allowed to press.;Il semble qu'il n'y ait qu'un seul pays saxon, $COUNTRY$. Par conséquent, le duc de $CAPITAL$ a déposé une réclamation sur toute la Saxe, réclamation sur laquelle l'on lui à autorisé à faire pression.;Es scheint nur ein sächsisches Land zu geben, $COUNTRY$. Daher erhob der Herzog von $CAPITAL$ Anspruch auf ganz Sachsen und behauptete, den er geltend machen durfte.;Wydaje siê, ¿e istnieje tylko jeden kraj saksoñski, $COUNTRY$. Dlatego ksi¹¿ê $CAPITAL$ wyst¹pi³ z roszczeniem do ca³ej Saksonii, twierdz¹c, ¿e wolno mu by³o wnieœæ skargê.;Parece que solo hay un país sajón, $COUNTRY$. Por lo tanto, el duque de $CAPITAL$ presentó un reclamo en toda Sajonia, un reclamo que se le permitió presionar.;Sembra esserci un solo paese sassone, $COUNTRY$. Ergo, il duca di $CAPITAL$ ha rivendicato l'intera Sassonia, rivendicazione che gli fu permesso di legittimare.;Úgy tûnik, hogy csak egy szász ország van, $COUNTRY$. Ezért a $CAPITAL$ herceg követelést nyújtott az egész Szászország iránt, ezt a követelést megengedte neki, hogy nyomja meg.;Zdá se, e existuje pouze jedna saská zemì, $COUNTRY$. Vévoda $CAPITAL$ tedy vznesl nárok na celé Sasko, co byl nárok, kterı mu bylo dovoleno stisknout.;Úgy tûnik, hogy csak egy szász ország van, $COUNTRY$. Ezért a $CAPITAL$ herceg követelést nyújtott az egész Szászország iránt, ezt a követelést megengedte neki, hogy nyomja meg.;Er lijkt maar één Saksisch land te zijn, $COUNTRY$. Vandaar dat de hertog van $CAPITAL$ de hele Saksen claimde, een claim die hij mocht uitoefenen.;Parece haver apenas um país saxão, $COUNTRY$. Portanto, o duque de $CAPITAL$ reivindicou toda a Saxônia, uma reivindicação que ele foi autorizado a pressionar.;Êàæåòñÿ, åñòü òîëüêî îäíà ñàêñîíñêàÿ ñòğàíà, $COUNTRY$. Ñëåäîâàòåëüíî, ãåğöîã $CAPITAL$ ïğåäúÿâèë ïğåòåíçèş íà âñş Ñàêñîíèş, òğåáîâàíèå, êîòîğîå åìó ğàçğåøèëè ïğåäúÿâèòü.;Vaikuttaa olevan vain yksi Saksi-maa, $COUNTRY$. Siksi $CAPITAL$-herttuakka nosti kanteen koko Saksin osavaltiossa, vaatimuksen, jonka hän sai painostaa.;x
